model,mmbench_en,mme,mmmu_val,ok_vqa,textvqa_val,vizwiz_vqa_val,scienceqa_img,seed_image,mmbench_en_mm_align224,mmbench_en_mm_align336,mmbench_en_average,mmbench_en_select,mmbench_en_normalize224,mmbench_en_normalize336,mmbench_en_normalize_average,mmbench_en_normalize_select,mme_mm_align224,mme_mm_align336,mme_average,mme_select,mme_normalize224,mme_normalize336,mme_normalize_average,mme_normalize_select,mmmu_val_mm_align224,mmmu_val_mm_align336,mmmu_val_average,mmmu_val_select,mmmu_val_normalize224,mmmu_val_normalize336,mmmu_val_normalize_average,mmmu_val_normalize_select,ok_vqa_mm_align224,ok_vqa_mm_align336,ok_vqa_average,ok_vqa_select,ok_vqa_normalize224,ok_vqa_normalize336,ok_vqa_normalize_average,ok_vqa_normalize_select,textvqa_val_mm_align224,textvqa_val_mm_align336,textvqa_val_average,textvqa_val_select,textvqa_val_normalize224,textvqa_val_normalize336,textvqa_val_normalize_average,textvqa_val_normalize_select,vizwiz_vqa_val_mm_align224,vizwiz_vqa_val_mm_align336,vizwiz_vqa_val_average,vizwiz_vqa_select,vizwiz_vqa_normalize224,vizwiz_vqa_normalize336,vizwiz_vqa_normalize_average,vizwiz_vqa_normalize_select,scienceqa_img_mm_align224,scienceqa_img_mm_align336,scienceqa_img_average,scienceqa_img_select,scienceqa_img_normalize224,scienceqa_img_normalize336,scienceqa_img_normalize_average,scienceqa_img_normalize_select,seed_image_mm_align224,seed_image_mm_align336,seed_image_average,seed_image_select,seed_image_normalize224,seed_image_normalize336,seed_image_normalize_average,seed_image_normalize_select,geo_corres,corres
CLIP336,64.26116838,1502.696679,35,53.20253666,46.042,54.26719148,69.26127913,66.09288274,0.5684375,1.0078125,0.788125,1.0078125,1,1.0078125,1.00390625,1.0078125,0.57421875,1.006875,0.790546875,1.006875,1,1.006875,1.0034375,1.006875,0.556679688,1.0078125,0.782246094,1.0078125,1,1.0078125,1.00390625,1.0078125,0.59765625,1.0046875,0.801171875,1.0046875,1,1.0046875,1.00234375,1.0046875,0.59140625,1.00328125,0.79734375,1.00328125,1,1.00328125,1.001640625,1.00328125,0.581953125,1.005859375,0.79390625,1.005859375,1,1.005859375,1.002929688,1.005859375,0.594140625,1.004375,0.7992578125,1.004375,1,1.004375,1.0021875,1.004375,0.617226563,1.002109375,0.809667969,1.002109375,1,1.002109375,1.001054688,1.002109375,11.27,15.66
CLIP224,64.17525773,1449.637855,36.2,56.12762584,42.668,51.68557536,68.81507189,65.13033092,1.000078125,0.630507813,0.815292969,1.000078125,1.000078125,1,1.000039063,1.000078125,1.000234375,0.635742188,0.8179882815,1.000234375,1.000234375,1,1.000117188,1.000234375,1.00046875,0.6246875,0.812578125,1.00046875,1.00046875,1,1.000234375,1.00046875,1.00015625,0.650234375,0.8251953125,1.00015625,1.00015625,1,1.000078125,1.00015625,1.0003125,0.639609375,0.8199609375,1.0003125,1.0003125,1,1.00015625,1.0003125,1.000234375,0.630390625,0.8153125,1.000234375,1.000234375,1,1.000117188,1.000234375,1,0.651875,0.8259375,1,1,1,1,1,1.00015625,0.658828125,0.8294921875,1.00015625,1.00015625,1,1.000078125,1.00015625,10.42,14.3
OpenCLIP,63.40206186,1460.283313,37.2,56.36147444,40.128,52.10696921,67.87307883,64.70877538,0.546367188,0.501835938,0.524101563,0.546367188,0.9611737227,0.795923425,0.8785485739,0.9611737227,0.554296875,0.508964844,0.5316308595,0.554296875,0.9653061224,0.8005837171,0.8829449198,0.9653061224,0.533515625,0.49,0.5117578125,0.533515625,0.9583888841,0.7843921961,0.8713905401,0.9583888841,0.561875,0.524121094,0.542998047,0.561875,0.940130719,0.8060495018,0.8730901104,0.940130719,0.554726563,0.516621094,0.5356738285,0.554726563,0.9379788648,0.8077134485,0.8728461567,0.9379788648,0.5509375,0.509609375,0.5302734375,0.5509375,0.9467042556,0.8084025282,0.8775533919,0.9467042556,0.559414063,0.522851563,0.541132813,0.559414063,0.9415516116,0.8020733469,0.8718124793,0.9415516116,0.573164063,0.535507813,0.554335938,0.573164063,0.9286121132,0.8128186892,0.8707154012,0.9286121132,11.85,16.22
DINOv2,58.50515464,1295.467787,34.6,54.7800238,14.272,49.66890484,65.14625682,61.38551254,0.458652344,0.464570313,0.461611328,0.458652344,0.8068650362,0.7368192803,0.7718421583,0.8068650362,0.469941406,0.473554688,0.471748047,0.469941406,0.8184013601,0.7448847928,0.7816430765,0.8184013601,0.460273438,0.468359375,0.4643164065,0.460273438,0.8268191707,0.7497498749,0.7882845228,0.8268191707,0.471503906,0.472753906,0.472128906,0.471503906,0.7889215682,0.7270515435,0.7579865559,0.7889215682,0.457285156,0.459003906,0.458144531,0.457285156,0.7732166442,0.7176316107,0.7454241275,0.7732166442,0.464960938,0.472246094,0.468603516,0.464960938,0.7989663051,0.7491324827,0.7740493939,0.7989663051,0.469355469,0.474882813,0.472119141,0.469355469,0.7899737019,0.7284875367,0.7592306193,0.7899737019,0.484550781,0.497871094,0.4912109375,0.484550781,0.7850452493,0.755691925,0.7703685871,0.7850452493,17.78,24.51
SDim,52.83505155,1205.331633,33.7,46.0443916,13.766,47.33271591,66.33614279,50.32670554,0.348222656,0.348828125,0.348525391,0.348828125,0.612596206,0.5532494884,0.5829228472,0.5532494884,0.369824219,0.3703125,0.3700683595,0.3703125,0.6440476195,0.5824884788,0.6132680491,0.5824884788,0.356972656,0.355625,0.356298828,0.355625,0.6412532444,0.5692846423,0.6052689433,0.5692846423,0.376386719,0.380703125,0.378544922,0.380703125,0.6297712422,0.5854860026,0.6076286224,0.5854860026,0.3725,0.374550781,0.3735253905,0.374550781,0.6298546896,0.5855930129,0.6077238512,0.5855930129,0.368261719,0.371230469,0.369746094,0.371230469,0.6328030612,0.5888895778,0.6108463195,0.5888895778,0.367675781,0.373730469,0.370703125,0.373730469,0.6188362915,0.5733161557,0.5960762236,0.5733161557,0.370410156,0.380761719,0.3755859375,0.380761719,0.6001202447,0.5779378635,0.5890290541,0.5779378635,17.69,20.9
SD1.5,42.5257732,1163.89876,33.9,39.13594927,11.642,50.1412364,63.31184928,50.00351296,0.349472656,0.353398438,0.351435547,0.353398438,0.6147952167,0.5604981108,0.5876466638,0.5604981108,0.362421875,0.368925781,0.365673828,0.368925781,0.6311564626,0.5803072188,0.6057318407,0.5803072188,0.349472656,0.356992188,0.353232422,0.356992188,0.6277805056,0.5714732374,0.5996268715,0.5714732374,0.370722656,0.37859375,0.374658203,0.37859375,0.6202941172,0.5822419801,0.6012680486,0.5822419801,0.363398438,0.370839844,0.367119141,0.370839844,0.6144649942,0.5797911327,0.5971280635,0.5797911327,0.367714844,0.376855469,0.3722851565,0.376855469,0.6318633378,0.5978126166,0.6148379772,0.5978126166,0.35234375,0.360175781,0.3562597655,0.360175781,0.5930309007,0.5525227705,0.5727768356,0.5525227705,0.354648438,0.362363281,0.3585058595,0.362363281,0.5745838874,0.5500118578,0.5622978726,0.5500118578,18.54,22.02
SDXL,43.72852234,1212.692877,32.8,41.77962743,11.806,47.13822644,65.24541398,53.78346097,0.345507813,0.369355469,0.357431641,0.369355469,0.6078202318,0.5858063316,0.5968132817,0.5858063316,0.346816406,0.369023438,0.357919922,0.369023438,0.6039795914,0.5804608298,0.5922202106,0.5804608298,0.343730469,0.372324219,0.358027344,0.372324219,0.6174654409,0.5960167588,0.6067410998,0.5960167588,0.343789063,0.362070313,0.352929688,0.362070313,0.575228759,0.5568304706,0.5660296148,0.5568304706,0.337539063,0.356933594,0.3472363285,0.356933594,0.5707397631,0.5580493469,0.564394555,0.5580493469,0.349960938,0.370703125,0.3603320315,0.370703125,0.6013558876,0.5880530425,0.594704465,0.5880530425,0.330488281,0.353261719,0.341875,0.353261719,0.5562458904,0.5419163475,0.5490811189,0.5419163475,0.329921875,0.354121094,0.3420214845,0.354121094,0.534523131,0.5375014827,0.5360123068,0.5375014827,13.45,16.52
DiT,33.67697595,901.9988996,32.7,33.74950456,10.822,49.92359342,63.46058503,40.65903183,0.394804688,0.378710938,0.386757813,0.378710938,0.6945437062,0.6006443222,0.6475940142,0.6006443222,0.400058594,0.382988281,0.3915234375,0.382988281,0.6967006807,0.6024270345,0.6495638576,0.6024270345,0.404375,0.392070313,0.3982226565,0.392070313,0.7264051639,0.627626314,0.6770157389,0.627626314,0.371855469,0.360195313,0.366025391,0.360195313,0.6221895429,0.5539468949,0.5880682189,0.5539468949,0.372148438,0.363710938,0.367929688,0.363710938,0.6292602386,0.5686454142,0.5989528264,0.5686454142,0.391503906,0.374394531,0.3829492185,0.374394531,0.6727413071,0.5939087863,0.6333250467,0.5939087863,0.368125,0.358242188,0.363183594,0.358242188,0.6195923734,0.5495565684,0.5845744709,0.5495565684,0.373007813,0.361621094,0.3673144535,0.361621094,0.6043288403,0.5488853318,0.576607086,0.5488853318,1.81,1.91
SD3,32.81786942,843.4338735,32.4,34.94649227,10.766,47.12201899,62.27069906,38.93768004,0.372871094,0.375332031,0.374101563,0.375332031,0.6559579444,0.5952852974,0.6256216209,0.5952852974,0.377421875,0.376054688,0.3767382815,0.376054688,0.6572789116,0.5915207376,0.6243998246,0.5915207376,0.361289063,0.365605469,0.363447266,0.365605469,0.6490070875,0.5852613811,0.6171342343,0.5852613811,0.390253906,0.389472656,0.389863281,0.389472656,0.6529738558,0.5989727258,0.6259732908,0.5989727258,0.385722656,0.388964844,0.38734375,0.388964844,0.6522126812,0.6081287411,0.6301707111,0.6081287411,0.402148438,0.400820313,0.4014843755,0.400820313,0.6910323542,0.6358284802,0.6634304172,0.6358284802,0.379902344,0.386191406,0.383046875,0.386191406,0.6394148591,0.5924316871,0.6159232731,0.5924316871,0.384628906,0.390566406,0.387597656,0.390566406,0.6231567613,0.5928198739,0.6079883176,0.5928198739,2.64,3.09
SD2.1,28.86597938,905.2746098,32.8,34.41141498,10.464,46.59180366,62.66732771,38.8182393,0.343535156,0.353378906,0.348457031,0.353378906,0.6043499171,0.5604671325,0.5824085248,0.5604671325,0.336035156,0.340917969,0.3384765625,0.340917969,0.5852040812,0.5362519201,0.5607280006,0.5362519201,0.334921875,0.3315625,0.3332421875,0.3315625,0.6016419895,0.5307653827,0.5662036861,0.5307653827,0.345449219,0.35671875,0.3510839845,0.35671875,0.5780065364,0.5486002643,0.5633034003,0.5486002643,0.34359375,0.349960938,0.346777344,0.349960938,0.5809775429,0.5471479182,0.5640627306,0.5471479182,0.345292969,0.350820313,0.348056641,0.350820313,0.5933346762,0.5565125798,0.574923628,0.5565125798,0.350410156,0.366191406,0.358300781,0.366191406,0.5897764624,0.5617509584,0.5757637104,0.5617509584,0.364101563,0.3771875,0.3706445315,0.3771875,0.5898993738,0.5725127475,0.5812060607,0.5725127475,6.77,6.99
SigLIP,61.8556701,1424.995098,35.8,54.0110979,36,53.17434591,66.8815072,64.39963465,0.518203125,0.491367188,0.504785156,0.518203125,0.9116272677,0.7793197449,0.8454735063,0.9116272677,0.541171875,0.510703125,0.5259375,0.541171875,0.9424489796,0.8033179717,0.8728834757,0.9424489796,0.514492188,0.483359375,0.4989257815,0.514492188,0.9242158446,0.7737618809,0.8489888628,0.9242158446,0.553320313,0.526230469,0.539775391,0.553320313,0.9258169943,0.8092935244,0.8675552593,0.9258169943,0.544648438,0.519316406,0.531982422,0.544648438,0.9209379137,0.8119274456,0.8664326796,0.9209379137,0.540253906,0.513164063,0.5267089845,0.540253906,0.9283460863,0.8140413938,0.87119374,0.9283460863,0.552070313,0.529550781,0.540810547,0.552070313,0.9291913223,0.8123501914,0.8707707569,0.9291913223,0.562382813,0.536601563,0.549492188,0.562382813,0.9111448643,0.8144788339,0.8628118491,0.9111448643,9.58,12.89
CLIP224+DINOv2,65.72164948,1436.419568,36.9,55.93737614,40.044,54.04491781,69.1125434,65.39029017,0.5246875,0.54875,0.53671875,0.5246875,0.9230346344,0.8703302143,0.8966824244,0.9230346344,0.528125,0.542929688,0.535527344,0.528125,0.9197278912,0.8540092167,0.8868685539,0.9197278912,0.516875,0.535351563,0.5261132815,0.516875,0.928496245,0.8569909963,0.8927436207,0.928496245,0.531445313,0.541992188,0.5367187505,0.531445313,0.8892156871,0.8335335824,0.8613746348,0.8892156871,0.524980469,0.53421875,0.5295996095,0.524980469,0.8876816385,0.8352265787,0.8614541086,0.8876816385,0.519042969,0.530761719,0.524902344,0.519042969,0.8918982418,0.8419568724,0.8669275571,0.8918982418,0.529785156,0.5440625,0.536923828,0.529785156,0.8916831028,0.834611697,0.8631473999,0.8916831028,0.534296875,0.554960938,0.5446289065,0.534296875,0.8656414144,0.842345548,0.8539934812,0.8656414144,17.44,23.62
CLIP336+DINOv2,65.12027491,1475.192077,34.6,56.9163694,46.166,53.4429266,67.6251859,66.38094569,0.477167969,0.54640625,0.511787109,0.54640625,0.8394378784,0.8666129725,0.8530254255,0.8666129725,0.479140625,0.543203125,0.511171875,0.543203125,0.8344217687,0.8544393234,0.8444305461,0.8544393234,0.46671875,0.541914063,0.5043164065,0.541914063,0.8383973047,0.8674962489,0.8529467768,0.8674962489,0.486035156,0.54125,0.513642578,0.54125,0.8132352937,0.8323921663,0.82281373,0.8323921663,0.476855469,0.535507813,0.506181641,0.535507813,0.8063077943,0.8372419698,0.8217748821,0.8372419698,0.473671875,0.535742188,0.5047070315,0.535742188,0.8139347563,0.84985748,0.8318961182,0.84985748,0.483027344,0.5415625,0.512294922,0.5415625,0.8129848788,0.8307766059,0.8218807424,0.8307766059,0.498574219,0.551171875,0.524873047,0.551171875,0.8077653311,0.8365943318,0.8221798314,0.8365943318,18.89,26.08